url,name,brand,sku,reviewer_name,review_title,review_description,recommended_review,verifed_purchaser,helpful_count,not_helpful_count,reviewed_at,images,rating,average_rating,reviews_count,reviews_link,comment_id,uniq_id,scraped_at
https://www.gamestop.com/electronics/tvs-monitors/televisions/products/vizio-55-in-class-oled-4k-hdr-smart-tv-oled55-h1/11180293.html,VIZIO 55-in Class OLED 4K HDR Smart TV OLED55-H1,VIZIO,328244,Leeford,,My new OLED is a upgrade and it's great!  This is my third Vizio TV to replace my first one that went blank after 12 years of stellar service. (I'm even thinking of getting it repaired if possible for the great grand kids.)   I have always liked the picture quality and the price of Vizio's. You cant go wrong.,yes: I recommend this product,,0,0,10 months ago,,5.0,4.2727,363,https://www.gamestop.com/on/demandware.store/Sites-gamestop-us-Site/default/Bazaarvoice-RatingAndReviews?Filter=Productid%3a11180293%7cIsRatingsOnly%3aeq%3afalse&Sort=submissiontime%3adesc&Offset=130,229196240,d749678d-aeba-5a6b-b8e2-8d2121463672,2022-01-16T16:17:56
https://www.gamestop.com/electronics/tvs-monitors/televisions/products/vizio-55-in-class-oled-4k-hdr-smart-tv-oled55-h1/11180293.html,VIZIO 55-in Class OLED 4K HDR Smart TV OLED55-H1,VIZIO,328244,DJM7,Great looking screen!,Rating is really a 4.5 but that's unavailable. The unit looks great both in and off. It is short on physical features (Bluetooth and whatnot) but I use both external sound and media units. This is a great OLED to buy if you want a great TV at a reasonable price.,yes: I recommend this product,,0,0,10 months ago,,4.0,4.2727,363,https://www.gamestop.com/on/demandware.store/Sites-gamestop-us-Site/default/Bazaarvoice-RatingAndReviews?Filter=Productid%3a11180293%7cIsRatingsOnly%3aeq%3afalse&Sort=submissiontime%3adesc&Offset=130,229179703,9f20312c-1047-5824-97d2-d5563b8fd046,2022-01-16T16:17:56
https://www.gamestop.com/electronics/tvs-monitors/televisions/products/vizio-55-in-class-oled-4k-hdr-smart-tv-oled55-h1/11180293.html,VIZIO 55-in Class OLED 4K HDR Smart TV OLED55-H1,VIZIO,328244,EC82,Quality,I’m quite pleased with the entire product as a whole. The quality of picture and sound really speaks for itself when in use.,yes: I recommend this product,,0,0,10 months ago,,4.0,4.2727,363,https://www.gamestop.com/on/demandware.store/Sites-gamestop-us-Site/default/Bazaarvoice-RatingAndReviews?Filter=Productid%3a11180293%7cIsRatingsOnly%3aeq%3afalse&Sort=submissiontime%3adesc&Offset=130,229174444,178b3b03-2c56-5abc-a016-c74c2633c9c2,2022-01-16T16:17:56
https://www.gamestop.com/electronics/tvs-monitors/televisions/products/vizio-55-in-class-oled-4k-hdr-smart-tv-oled55-h1/11180293.html,VIZIO 55-in Class OLED 4K HDR Smart TV OLED55-H1,VIZIO,328244,Weeto,Unbelievable picture quality!,"I’ve only had my new Visio OLED65 mounted and operating for 3 days now and I’m like a kid who after Christmas can’t get enough of his favorite gift. The brightness and clarity of the picture is another huge by step forward in the evolution of  the television. I find myself seeking out programming that will showcase the quality of the picture regardless of the genre or intended audience. Some of the newer, computer generated cartoons, lack any redeemable qualities (imho) save for the incredible graphics, which are stunningly colorful, bright, and almost as vivid as real life. Nature documentaries and shows involving space, especially when shot in 4K are almost mesmerizing. When I bought my 65” HD tv about 10 years ago I thought I was witnessing the best quality picture that could be produced by anything this side of a mirror. I was wrong, and happily so. If you’re on the fence, like I was, about whether to replace a broken or outdated television with another of similar HD quality, that is to say “standard high definition”...don’t even waste your time. It’s increasingly difficult to find as 4K is becoming ubiquitous, so that is pretty much a given. On the subject of spending your hard earned money on the more expensive OLED technology....if you have the means, or can somehow figure out how to acquire the means...my advice is definitely do so. Whether you’re into movies, sports, gaming, or even nature/space shows, you will be amazed at the latest leap in picture quality and brightness. And VIZIO offers all the quality at a substantial savings. Putting the absolute best technology within the reach of those of us for whom the strength of the stock market makes absolutely no difference to our bottom line. 
FYI...the 65” HD television I had to replace was a Samsung that was about 4 or 5 years old that stopped working after some loud cracking and popping noises that sounded like the transformer on an overhead power line blowing out. However, my 42” VIZIO that I bought in ‘08 doesn’t even have a single bad pixel. Food for thought.",yes: I recommend this product,,0,0,10 months ago,,2.0,4.2727,363,https://www.gamestop.com/on/demandware.store/Sites-gamestop-us-Site/default/Bazaarvoice-RatingAndReviews?Filter=Productid%3a11180293%7cIsRatingsOnly%3aeq%3afalse&Sort=submissiontime%3adesc&Offset=130,229167959,16e925e3-1e59-537e-aa67-1675b613d351,2022-01-16T16:17:56
https://www.gamestop.com/electronics/tvs-monitors/televisions/products/vizio-55-in-class-oled-4k-hdr-smart-tv-oled55-h1/11180293.html,VIZIO 55-in Class OLED 4K HDR Smart TV OLED55-H1,VIZIO,328244,LexusSC400,Vizio OLED,The picture is very crisp and the blacks very dark.  Beautiful color.  The Vizio SmartCast app is fantastic.  The response from selections is much faster than the traditional supplied remote.  They update it from time to time with most recent voice search function,yes: I recommend this product,,0,0,10 months ago,,5.0,4.2727,363,https://www.gamestop.com/on/demandware.store/Sites-gamestop-us-Site/default/Bazaarvoice-RatingAndReviews?Filter=Productid%3a11180293%7cIsRatingsOnly%3aeq%3afalse&Sort=submissiontime%3adesc&Offset=130,229131414,bc017585-3bc1-5a37-9e58-f0bed6de9a72,2022-01-16T16:17:56
https://www.gamestop.com/electronics/tvs-monitors/televisions/products/vizio-55-in-class-oled-4k-hdr-smart-tv-oled55-h1/11180293.html,VIZIO 55-in Class OLED 4K HDR Smart TV OLED55-H1,VIZIO,328244,Ninjaafro,Bugs,"Picture quality is amazing, however within a week from purchasing the tv will not turn on unless I unplug and plug it back in.",No: I don’t recommend this product,,0,0,10 months ago,,3.0,4.2727,363,https://www.gamestop.com/on/demandware.store/Sites-gamestop-us-Site/default/Bazaarvoice-RatingAndReviews?Filter=Productid%3a11180293%7cIsRatingsOnly%3aeq%3afalse&Sort=submissiontime%3adesc&Offset=130,229087196,4167ea1c-87b6-5dbd-a04b-56fc7d1948e9,2022-01-16T16:17:56
https://www.gamestop.com/electronics/tvs-monitors/televisions/products/vizio-55-in-class-oled-4k-hdr-smart-tv-oled55-h1/11180293.html,VIZIO 55-in Class OLED 4K HDR Smart TV OLED55-H1,VIZIO,328244,von R,Glass like screen,Image is so clear I feel like I’m on the set of the shows.,yes: I recommend this product,,0,0,10 months ago,,5.0,4.2727,363,https://www.gamestop.com/on/demandware.store/Sites-gamestop-us-Site/default/Bazaarvoice-RatingAndReviews?Filter=Productid%3a11180293%7cIsRatingsOnly%3aeq%3afalse&Sort=submissiontime%3adesc&Offset=130,229080154,b4c20627-111c-5ad9-809f-11d6a82c675d,2022-01-16T16:17:56
https://www.gamestop.com/electronics/tvs-monitors/televisions/products/vizio-55-in-class-oled-4k-hdr-smart-tv-oled55-h1/11180293.html,VIZIO 55-in Class OLED 4K HDR Smart TV OLED55-H1,VIZIO,328244,Ohio Erik,Amazing 4k picture,"I purchased this TV about 2 weeks ago and am blown away by the crisp, 4k picture.  I would definitely recommend this TV to someone considering an upgrade.",yes: I recommend this product,,0,0,10 months ago,,5.0,4.2727,363,https://www.gamestop.com/on/demandware.store/Sites-gamestop-us-Site/default/Bazaarvoice-RatingAndReviews?Filter=Productid%3a11180293%7cIsRatingsOnly%3aeq%3afalse&Sort=submissiontime%3adesc&Offset=130,229044038,ea9ef1ba-d537-5b73-ab71-790616ef3258,2022-01-16T16:17:56
https://www.gamestop.com/electronics/tvs-monitors/televisions/products/vizio-55-in-class-oled-4k-hdr-smart-tv-oled55-h1/11180293.html,VIZIO 55-in Class OLED 4K HDR Smart TV OLED55-H1,VIZIO,328244,jonck,Great features,"I got this today 2/25 for my birthday present from my son as a surprise gift, without any prior guess or information at all. My previous one in my master bed room was quite old Samsung 50” PD TV, which was ok but heavy and bulky compared to this. 
I am so happy to have this wonderful big one for my first OLED TV, of which screen is fantastic and very light compared to my previous one indeed.",yes: I recommend this product,,0,0,10 months ago,,4.0,4.2727,363,https://www.gamestop.com/on/demandware.store/Sites-gamestop-us-Site/default/Bazaarvoice-RatingAndReviews?Filter=Productid%3a11180293%7cIsRatingsOnly%3aeq%3afalse&Sort=submissiontime%3adesc&Offset=130,228991912,7f69bc6a-f89c-53d4-a52a-39a8b8512c54,2022-01-16T16:17:56
https://www.gamestop.com/electronics/tvs-monitors/televisions/products/vizio-55-in-class-oled-4k-hdr-smart-tv-oled55-h1/11180293.html,VIZIO 55-in Class OLED 4K HDR Smart TV OLED55-H1,VIZIO,328244,Bob279,Great picture and a good price,"Best price on an OLED tv. Has a great picture and is easy to navigate the menus and connect via apple or Android devices. I always bought LG OLED tvs because I liked their quality and features. But so far, Vizio is just as good and a better price.",yes: I recommend this product,,0,0,10 months ago,,5.0,4.2727,363,https://www.gamestop.com/on/demandware.store/Sites-gamestop-us-Site/default/Bazaarvoice-RatingAndReviews?Filter=Productid%3a11180293%7cIsRatingsOnly%3aeq%3afalse&Sort=submissiontime%3adesc&Offset=130,228960695,3e14ceea-0717-51ac-9edf-6b0d17b9f978,2022-01-16T16:17:56
